team,alpha_attack,beta_defence
AFC Bournemouth,0.8535949048056475,1.1088637379347739
Arsenal,1.340753577321035,0.5147411131917728
Aston Villa,0.3476762799379625,1.2392352346510769
Chelsea,1.2182809417860103,0.7743094835748523
Crystal Palace,0.6700223518170367,0.7623412141371252
Everton,1.2313694085413935,0.857064964949871
Leicester City,1.398502274589326,0.4501331963447001
Liverpool,1.2991538031627707,0.7262630922415116
Manchester City,1.5166478635443545,0.652526776449045
Manchester United,0.9360503467764908,0.482138576892374
Newcastle United,0.7927602147214499,1.0500161807599648
Norwich City,0.7112030274093123,1.0581508274289382
Southampton,1.1708995934709192,0.5574234332242892
Stoke City,0.7818768528264369,0.817059920902972
Sunderland,0.8834561437358956,1.0293400051241912
Swansea City,0.7780281454068672,0.7897932113339269
Tottenham Hotspur,1.4373700232801327,0.4481701449086565
Watford,0.7442687165183784,0.7356872110635642
West Bromwich Albion,0.580872036469428,0.7195619615573434
West Ham United,1.3072134938791493,0.7745832788273971
