team,alpha_attack,beta_defence
Athletic Club,1.1324073884838175,0.7978122689481261
Atlético Madrid,1.1904484866834422,0.215033836716326
Barcelona,2.3526011855658835,0.4890492386651071
Celta Vigo,0.9761800224354648,1.0741737791173331
Eibar,0.9683357913124553,1.1489956762924105
Espanyol,0.7680869231671941,1.423426838766377
Getafe,0.6537974147561966,1.3104848386033527
Granada,0.8721117965406956,1.27871679755913
Las Palmas,0.8003923954957829,0.9668114766774565
Levante UD,0.6249215757015896,1.2967969708070266
Málaga,0.6476455191614445,0.5549589257121526
RC Deportivo La Coruña,0.819823866375388,1.1222423495268696
Rayo Vallecano,1.0779461721663737,1.4150605426252236
Real Betis,0.5770639333498077,0.928552414508834
Real Madrid,2.39570844999826,0.5901183694518827
Real Sociedad,0.8584939529266927,0.8535074247511999
Sevilla,0.9736964229636199,0.8790852004786481
Sporting Gijón,0.7501235384022259,1.132520354178557
Valencia,0.7906410416654936,0.8163698907382639
Villarreal,0.7695741228481701,0.585756332994058
