team,alpha_attack,beta_defence
Arsenal WFC,2.28270962000457,0.6865936812626922
Birmingham City WFC,0.9542177208770587,0.8303665422747565
Brighton & Hove Albion WFC,0.5581893353622921,1.7321318821966654
Bristol City WFC,0.5728835942811712,1.6228326682220882
Chelsea FCW,1.3214406817853035,0.6337394652770691
Everton LFC,0.5241375273640898,1.5919302270562972
Liverpool WFC,0.7098872395782586,1.7311273154864237
Manchester City WFC,1.726996320930016,0.856165513408093
Reading WFC,1.161911916105192,1.5041904653316958
West Ham United LFC,0.8027547817389293,1.646772796243349
Yeovil Town LFC,0.3848712619731181,2.442171073905065
