team,alpha_attack,beta_defence
Arsenal WFC,2.2018093656876205,0.8197907846796632
Birmingham City WFC,0.2141604067277301,1.7873808465866479
Brighton & Hove Albion WFC,0.29801570921659404,1.853690206263179
Bristol City WFC,0.5024859171941789,3.1188666554741267
Chelsea FCW,2.056413223928303,0.5780618213861435
Everton LFC,1.003517347385775,1.8601872206706522
Liverpool WFC,0.29453461477422377,1.3169451466703646
Manchester City WFC,1.8559352438536678,0.4943293078582792
Manchester United W,1.048391458276827,0.6561108153929036
Reading WFC,0.8870222371750852,1.807996455105208
Tottenham Hotspur Women,0.6134510911949591,1.7756906230942742
West Ham United LFC,1.024263384585035,2.809455300357963
