team,alpha_attack,beta_defence
Athletic Club Bilbao,0.7980975006249836,0.8026329777693059
Atletico Madrid W,1.1596524401733632,0.42071919873043206
Barcelona WFC,3.255401923815953,0.08521681441672367
CD Sporting de Huelva,0.3163117563350868,1.4517430658056873
Costa Adeje Tenerife,0.7120950350541619,1.1286588956088819
FC Levante Badalona,0.7102529054299918,1.343349438139279
Granada W,0.633507618423698,1.3239850472559564
Levante UD Femenino,1.2817250045347328,0.5269981795960532
Madrid CFF,1.3360168385216336,1.2300468102958773
Real Betis Balompié,0.5891894806522491,1.6615185280826135
Real Madrid CF W,1.6600163845783424,0.6775513512430642
Real Sociedad de Fútbol,0.8109151997520625,1.2919829545284667
SD Eibar,0.38739935384575436,1.0596617815603782
Sevilla FC,1.124890308344653,1.3339735591694233
Valencia CF,0.7470816640699234,1.4806159741353015
Villarreal,0.4774465858434096,1.1457703109715625
