team,alpha_attack,beta_defence
AFC Bournemouth,0.8563102229168006,1.1103985627353032
Arsenal,1.3406428428785282,0.5159006309767855
Aston Villa,0.3478772534230016,1.2429015503763894
Chelsea,1.2183098892760984,0.778308700407073
Crystal Palace,0.6708568092525967,0.7639968765713223
Everton,1.2326317855489222,0.8600541099519031
Leicester City,1.3994521034896215,0.452049424991414
Liverpool,1.297054045498983,0.7283766980127312
Manchester City,1.5189855162299215,0.6549113498268921
Manchester United,0.9349291107136689,0.48131619211717164
Newcastle United,0.7880151274899494,1.048479739997286
Norwich City,0.7081468583871305,1.060073152566294
Southampton,1.1705510467626932,0.5567806495153955
Stoke City,0.7842102208735371,0.819292261157313
Sunderland,0.8848287003490755,1.0333822302473699
Swansea City,0.7782563843241648,0.790279252453755
Tottenham Hotspur,1.43561384374089,0.44910275174306113
Watford,0.7450843082932157,0.7369934658503222
West Bromwich Albion,0.5827539660308575,0.7223642673534653
West Ham United,1.3054899645203453,0.776570808024573
