team,alpha_attack,beta_defence
Athletic Club,1.1467711889797754,0.8156154403908686
Atlético Madrid,1.186835596582153,0.19118823738577378
Barcelona,2.384083393980994,0.4719492983742392
Celta Vigo,0.9847154950767647,1.1182538409804232
Eibar,1.0162720331561645,1.223171816961624
Espanyol,0.7853396674121363,1.5209315934723775
Getafe,0.6221615561369631,1.3586724152896943
Granada,0.8500552732245213,1.316889224953881
Las Palmas,0.8002060190863478,1.0162334568130496
Levante UD,0.6058868758990965,1.3034103683283207
Málaga,0.6197265675508112,0.5476764781273097
RC Deportivo La Coruña,0.8307165075499076,1.1845613058720392
Rayo Vallecano,1.0876311282329503,1.5216211419246395
Real Betis,0.5514902481602,0.9452310538701388
Real Madrid,2.438524903696126,0.5947832592849482
Real Sociedad,0.8834916979830464,0.8602182819979806
Sevilla,0.9502681550780586,0.8890319175600465
Sporting Gijón,0.7357604918383391,1.1429153110533248
Valencia,0.7515169245706562,0.8060873469355971
Villarreal,0.7685462758049906,0.569453062859346
