team,alpha_attack,beta_defence
AFC Bournemouth,0.8569055072859444,1.0876272232839048
Arsenal,1.342863922639653,0.5223511338919218
Aston Villa,0.3275122023417429,1.2413957997677025
Chelsea,1.2293863043882083,0.77136453539333
Crystal Palace,0.6530501080049583,0.7601620387016651
Everton,1.2345120261937095,0.8528738981734698
Leicester City,1.4147783799172189,0.4446902740489424
Liverpool,1.3117777935075825,0.7156740448143271
Manchester City,1.5230635521837121,0.6523383552504723
Manchester United,0.9352932489585917,0.46996362934647357
Newcastle United,0.7872877129208724,1.0570432175506617
Norwich City,0.6988662802503163,1.0598772319621275
Southampton,1.1715972180344199,0.5516589146322934
Stoke City,0.7875009323553748,0.8046302053428691
Sunderland,0.8750553473237239,1.034605134418517
Swansea City,0.7667090849670337,0.7948386637477959
Tottenham Hotspur,1.4258156631519727,0.446863991581939
Watford,0.7402969664530817,0.7297758202056739
West Bromwich Albion,0.5832101198934709,0.721107738139
West Ham United,1.3345176292284096,0.7770611192346429
