team,alpha_attack,beta_defence
Athletic Club Bilbao,0.7811183632555138,0.794833047753944
Atletico Madrid W,1.1578192391162816,0.42534924037697086
Barcelona WFC,3.335863237084692,0.07186310452388059
CD Sporting de Huelva,0.31281903889877044,1.4220086019203204
Costa Adeje Tenerife,0.7048926823794551,1.1400496536191622
FC Levante Badalona,0.6999028884877752,1.3654492745172966
Granada W,0.6329771949309826,1.3253384940463766
Levante UD Femenino,1.2999013525845635,0.5069794821160869
Madrid CFF,1.3469516075235342,1.241678930549621
Real Betis Balompié,0.5646191961382021,1.669208231354678
Real Madrid CF W,1.6267214804613614,0.6492065263471487
Real Sociedad de Fútbol,0.8179083385661583,1.2983085302537112
SD Eibar,0.3725482660483566,1.0362242209658825
Sevilla FC,1.1323210216052413,1.3481920102497056
Valencia CF,0.7384104868072227,1.4787974048038899
Villarreal,0.4752256061118867,1.1119569386267436
