team,alpha_attack,beta_defence
AS Monaco,1.2401844422166728,0.853872791729352
Angers,0.8067812567780759,0.5970768735047924
Bastia,0.6920534561902305,0.5897711408793197
Bordeaux,0.9836781376330754,0.9413183853653092
Gazélec Ajaccio,0.7140677761277524,1.0554204721679294
Guingamp,1.014860742937135,0.9818076188546648
Lille,0.7397572559117063,0.28621422443319544
Lorient,1.022891226769976,1.0520171695757974
Lyon,1.5116016780959682,0.7477825560398932
Montpellier,1.044339324028841,0.7813049567202124
Nantes,0.6370731026530622,0.7424744631210457
OGC Nice,1.2756440752567475,0.6860682302943
Olympique de Marseille,0.9636171618070785,0.7088116316842358
Paris Saint-Germain,2.3815752713759597,0.2659744558814673
Rennes,1.1118542253226453,0.9682583459321958
Saint-Étienne,0.8109507466111948,0.563579428174933
Stade Malherbe Caen,0.7740230758429916,0.8943499368247806
Stade de Reims,0.8876089323468569,0.9914021368650983
Toulouse,0.9214168085893557,0.9483918827163074
Troyes,0.4660213035046763,1.5147742640181412
