team,alpha_attack,beta_defence
AC Milan,1.0164908436487148,0.8272377519337174
AS Roma,1.8540758074025776,0.7370555933513158
Atalanta,0.8089138230142028,0.9010014121602409
Bologna,0.6287123139477488,0.8429562713540042
Carpi,0.6781387523878851,1.166005508865741
Chievo,0.8704076884870792,0.8756858682961767
Empoli,0.7906767657137901,0.9724316525592185
Fiorentina,1.2707974260853496,0.7924726034792522
Frosinone,0.6901866953904938,1.527556841392908
Genoa,0.8911212595482325,0.9070554034719377
Hellas Verona,0.5875824490961137,1.2877467860875558
Inter Milan,1.0304506594187643,0.6875824454067527
Juventus,1.6224996388068105,0.3013471066692794
Lazio,1.0233697468541352,1.0651705467921
Napoli,1.7510400220636693,0.5768884935533637
Palermo,0.743712665094519,1.3420166335924213
Sampdoria,0.9359970497483292,1.262342691227245
Sassuolo,1.049118758174767,0.7904691108378279
Torino,1.0794345235656042,1.1090343916334595
Udinese,0.6772731115512117,1.176528789343562
